wave,row,task,baseline_hours,target_after_hours,target_savings_pct,actual_hours_cohort_member_1,actual_hours_cohort_member_2,actual_hours_cohort_member_3,actual_hours_cohort_member_4,actual_hours_cohort_member_5,actual_hours_cohort_member_6,actual_avg_hours,actual_savings_pct,deviation_vs_target_pct,quality_signal_target,quality_signal_actual,notes
W2,1,接口设计 + spec 撰写,2.0,0.5,75,,,,,,,,,接口口径不一致 2.5→0.5 处/接口,,
W2,2,接口联调 (前后端对齐),4.0,1.0,75,,,,,,,,,联调一次通过率 25%→70%,,
W2,3,自动化测试用例编写,3.0,1.25,58,,,,,,,,,用例覆盖率 70%→92%,,
W2,4,接口文档归纳,2.0,0.5,75,,,,,,,,,文档时效性 >14d→<3d,,
W2,5,需求文档转技术方案,4.0,1.5,62,,,,,,,,,评审一次通过率 40%→70%,,
W2,6,设计文档归纳合并,3.0,0.75,75,,,,,,,,,冲突项识别率 60%→90%,,
W2,7,前端样式还原,4.0,1.5,62,,,,,,,,,偏差点 6-8→1-2 处/页,,
W2,8,前端组件复用度,0,0,0,,,,,,,,,复用率 30%→65%,,
W2,9,前端样式 spec 撰写,1.5,0.5,67,,,,,,,,,token 覆盖率 60%→95%,,
W2,10,生产问题定位,3.0,1.0,67,,,,,,,,,首假设命中率 30%→65%,,
